File,Exec Value,Thread Count,Iteration,Elapsed Time
perf-sudoku_solver_c-8-2.txt,sudoku_solver_c,8,2,0.13
perf-sudoku_solver_b-2-1.txt,sudoku_solver_b,2,1,4.2
perf-sudoku_solver_c-32-1.txt,sudoku_solver_c,32,1,0.21
perf-sudoku_solver_c-8-3.txt,sudoku_solver_c,8,3,0.1
perf-sudoku_solver_c-1-3.txt,sudoku_solver_c,1,3,0.12
perf-sudoku_solver_b-16-2.txt,sudoku_solver_b,16,2,4.21
perf-sudoku_solver_a-32-2.txt,sudoku_solver_a,32,2,14.36
perf-sudoku_solver_c-4-3.txt,sudoku_solver_c,4,3,0.4
perf-sudoku_solver_a-1-2.txt,sudoku_solver_a,1,2,183.61
perf-sudoku_solver_a-32-1.txt,sudoku_solver_a,32,1,14.14
perf-sudoku_solver_a-16-1.txt,sudoku_solver_a,16,1,18.29
perf-sudoku_solver_c-32-2.txt,sudoku_solver_c,32,2,0.85
perf-sudoku_solver_b-8-2.txt,sudoku_solver_b,8,2,4.19
perf-sudoku_solver_a-8-2.txt,sudoku_solver_a,8,2,28.52
perf-sudoku_solver_c-1-2.txt,sudoku_solver_c,1,2,23.6
perf-sudoku_solver_a-4-1.txt,sudoku_solver_a,4,1,53.22
perf-sudoku_solver_a-32-3.txt,sudoku_solver_a,32,3,11.54
perf-sudoku_solver_a-2-1.txt,sudoku_solver_a,2,1,103.67
perf-sudoku_solver_b-4-2.txt,sudoku_solver_b,4,2,4.2
perf-sudoku_solver_c-8-1.txt,sudoku_solver_c,8,1,0.79
perf-sudoku_solver_c-2-3.txt,sudoku_solver_c,2,3,0.67
perf-sudoku_solver_a-8-1.txt,sudoku_solver_a,8,1,29.25
perf-sudoku_solver_a-1-1.txt,sudoku_solver_a,1,1,184.65
perf-sudoku_solver_c-16-1.txt,sudoku_solver_c,16,1,2.25
perf-sudoku_solver_b-4-3.txt,sudoku_solver_b,4,3,4.18
perf-sudoku_solver_a-16-3.txt,sudoku_solver_a,16,3,13.25
perf-sudoku_solver_b-4-1.txt,sudoku_solver_b,4,1,4.2
perf-sudoku_solver_c-4-1.txt,sudoku_solver_c,4,1,0.41
perf-sudoku_solver_b-16-1.txt,sudoku_solver_b,16,1,4.2
perf-sudoku_solver_a-8-3.txt,sudoku_solver_a,8,3,13.51
perf-sudoku_solver_c-16-3.txt,sudoku_solver_c,16,3,0.12
perf-sudoku_solver_a-1-3.txt,sudoku_solver_a,1,3,184.77
perf-sudoku_solver_a-16-2.txt,sudoku_solver_a,16,2,18.69
perf-sudoku_solver_b-32-1.txt,sudoku_solver_b,32,1,4.2
perf-sudoku_solver_b-1-1.txt,sudoku_solver_b,1,1,4.26
perf-sudoku_solver_c-32-3.txt,sudoku_solver_c,32,3,0.34
perf-sudoku_solver_b-1-3.txt,sudoku_solver_b,1,3,4.17
perf-sudoku_solver_b-8-1.txt,sudoku_solver_b,8,1,4.23
perf-sudoku_solver_a-4-3.txt,sudoku_solver_a,4,3,12.44
perf-sudoku_solver_b-32-3.txt,sudoku_solver_b,32,3,4.21
perf-sudoku_solver_c-1-1.txt,sudoku_solver_c,1,1,22.96
perf-sudoku_solver_c-2-2.txt,sudoku_solver_c,2,2,3.27
perf-sudoku_solver_b-2-2.txt,sudoku_solver_b,2,2,4.21
perf-sudoku_solver_a-2-3.txt,sudoku_solver_a,2,3,12.6
perf-sudoku_solver_a-2-2.txt,sudoku_solver_a,2,2,104.73
perf-sudoku_solver_c-4-2.txt,sudoku_solver_c,4,2,0.4
perf-sudoku_solver_c-16-2.txt,sudoku_solver_c,16,2,0.14
perf-sudoku_solver_b-1-2.txt,sudoku_solver_b,1,2,4.21
perf-sudoku_solver_b-2-3.txt,sudoku_solver_b,2,3,4.21
perf-sudoku_solver_b-16-3.txt,sudoku_solver_b,16,3,4.2
perf-sudoku_solver_b-8-3.txt,sudoku_solver_b,8,3,4.19
perf-sudoku_solver_a-4-2.txt,sudoku_solver_a,4,2,53.49
perf-sudoku_solver_c-2-1.txt,sudoku_solver_c,2,1,2.16
perf-sudoku_solver_b-32-2.txt,sudoku_solver_b,32,2,4.17
